,,,
Name,Address,Phone,Website
Jim Dandy Cleaners,"15525 Devonshire St, Mission Hills, CA 91345",(818) 891-4113,
Foothill Plaza Cleaners & Alterations,"15975 Yarnell St, Sylmar, CA 91342",(818) 362-9802,foothillplazacleaners.com
Coin-Op Laundromat,"12777 San Fernando Rd, Sylmar, CA 91342",(818) 364-1982,
A-Plus Coin Laundry,"1530 San Fernando Rd, San Fernando, CA 91340",(818) 361-3940,
Value Cleaners,"10345 Sepulveda Blvd, Mission Hills, CA 91345",(818) 891-9000,
Lavanderia Azul,"10690 Laurel Canyon Blvd, Pacoima, CA 91331",(818) 899-8328,
Sams Laundrymat,"805 S Workman St, San Fernando, CA 91340",(818) 365-2636,
As Cleaners,"11254 Glenoaks Blvd, Pacoima, CA 91331",(818) 890-2094,
IN-&-OUT CLEANERS,"16205 Devonshire St, Granada Hills, CA 91344",(747) 300-2378,
Rosens Coin Laundry,"13285 MacLay St, San Fernando, CA 91340",(818) 361-7057,
Sylmar Cleaners,"13195 Gladstone Ave, Sylmar, CA 91342",(818) 362-0713,
Fresh Cleaners & Alterations,"11245 Tampa Ave, Los Angeles, CA 91326",(818) 368-4011,freshdrycleaning.com
Zeppelin Cleaners,"9545 Reseda Blvd, Northridge, CA 91324",(818) 772-1121,
Jim Dandy Cleaners,"15525 Devonshire St, Mission Hills, CA 91345",(818) 891-4113,
Mandys Coin Laundry,"11479 San Fernando Rd, San Fernando, CA 91340",(818) 925-0024,
As Cleaners,"13768 Foothill Blvd, Sylmar, CA 91342",(818) 367-3912,
El Lavadero Coin Laundry,"10041 Laurel Canyon Blvd, Pacoima, CA 91331",(818) 660-2492,
Romians Drapery Service,"13545 Mercer St, Pacoima, CA 91331",(818) 890-7479,
Sams Lavanderia,"12902 Foothill Blvd, Sylmar, CA 91342",(818) 838-0687,
Yesenia House Cleaning,"5530 Owensmouth Ave, Woodland Hills, CA 91367",(323) 688-4843,shshinvestments.wix.com/lacle…
Joy Cleaners,"13947 Foothill Blvd Ste 110, Sylmar, CA 91342",(818) 364-5300,
Pressed 4 time,"10624 Orion Ave, Mission Hills, CA 91345",(818) 892-3433,
Tidy Toosh Diaper Service,"Los Angeles, CA 90032",(661) 609-8683,tidytoosh.com
Hunt Cleaners,"10644 Sepulveda Blvd, San Fernando, CA 91345",(818) 361-2826,huntcleaners.com
Fresh Cleaners & Alterations,"11245 Tampa Ave, Los Angeles, CA 91326",(818) 368-4011,freshdrycleaning.com
Zeppelin Cleaners,"9545 Reseda Blvd, Northridge, CA 91324",(818) 772-1121,
Jim Dandy Cleaners,"15525 Devonshire St, Mission Hills, CA 91345",(818) 891-4113,
Glory Cleaners,"16156 San Fernando Mission Blvd, Granada Hills, CA 91344",(818) 832-6641,
Tulys Laundromat,"13235 Gladstone Ave, Sylmar, CA 91342",(818) 367-0219,
N G S Shoe Repair,"10750 Glenoaks Blvd Ste 7, Pacoima, CA 91331",(818) 890-2855,
Hosanna Maid Services,"1628 Queen St, Los Angeles, CA 90026",(213) 249-1326,
Jin Young Coin Laundry,"10435 Laurel Canyon Blvd, Pacoima, CA 91331",(818) 890-1928,
Selective Cleaners,"15416 Lassen St, Mission Hills, CA 91345",(818) 893-9424,selective-cleaners.com
Rainbow Cleaners,"15416 Lassen St, Mission Hills, CA 91345",(818) 893-9424,
Crest Curtain & Drapery Cleaners,"8972 W Pico Blvd, Los Angeles, CA 90035",(310) 271-5441,crestdrapery.com
Maytag Coin Laundry,"13205 Osborne St, Arleta, CA 91331",(818) 896-4268,maytag.com
Chris Cleaners,"16205 Devonshire St Ste F, Granada Hills, CA 91344",(818) 368-6641,
Fresh Cleaners & Alterations,"11245 Tampa Ave, Los Angeles, CA 91326",(818) 368-4011,freshdrycleaning.com
Rinse,"Culver City, CA 90232",(888) 850-2444,rinse.com
Coin Laundry Lavanderia,"1514 W Sunset, Los Angeles, CA 90026",(917) 596-2668,sunsetlaundry.weebly.com
The Laundry Room of Palms,"10413 Tabor St, Los Angeles, CA 90034",(760) 560-3870,laundryroompalms.com
Our Beautiful Launderette,"8105 Beverly Blvd, Los Angeles, CA 90048",(310) 614-5444,ourbeautifullaunderette.com
The Laundry Room of Atwater Village,"3334 Glendale Blvd, Los Angeles, CA 90039",(760) 560-3870,laundryroomatwater.com
Wash House,"625 Silver Lake Blvd, Los Angeles, CA 90026",(323) 451-9601,washhousesilverlake.com
City Laundry,"5605 San Vicente Blvd, Los Angeles, CA 90019",(877) 578-6576,city-laundry.net
Los Lavaderos Coin Laundries,"110 S Vermont Ave, Los Angeles, CA 90004",(323) 463-6354,
The Washing Machine,"8247 W 3rd St, Los Angeles, CA 90048",(424) 835-1425,washingmachinelaundromat.com
Wash and Fold Laundromat,"1410 W 6th St, Los Angeles, CA 90017",(213) 640-9274,washandfoldlaundromat.com
The Laundromat of Hollywood,"720 N Vermont Ave, Los Angeles, CA 90029",(760) 560-3870,laundromatofhollywood.com
Laundrywood,"747 N Western Ave, Los Angeles, CA 90029",(323) 467-2001,laundrywood.com
Coast Laundry,"5041 W El Segundo Blvd, Hawthorne, CA 90250",(424) 348-3490,coast-laundry.com
Rinse,"Culver City, CA 90232",(888) 850-2444,rinse.com
Coin Laundry Lavanderia,"1514 W Sunset, Los Angeles, CA 90026",(917) 596-2668,sunsetlaundry.weebly.com
Bubble Beach Laundry,"2633 Main St, Santa Monica, CA 90405",(310) 392-1717,bubblebeachlaundry.com
Thrifty Wash,"2712 Griffith Park Blvd, Los Angeles, CA 90027",(323) 660-2749,
Wash and Fold Laundromat,"1410 W 6th St, Los Angeles, CA 90017",(213) 640-9274,washandfoldlaundromat.com
Los Lavaderos Coin Laundries,"4371 Melrose Ave, Los Angeles, CA 90029",(323) 463-6354,
Los Lavaderos Coin Laundries,"954 N Virgil Ave, Los Angeles, CA 90029",(323) 463-6354,
Laundry 360,"441 E Carson St, Carson, CA 90745",(310) 941-3027,carsonlaundry.com
Garys Cleaners,"12701 Washington Pl, Los Angeles, CA 90066",(310) 398-1360,
Wash n Dry Launderland,"10829 Venice Blvd, Los Angeles, CA 90034",(310) 558-8633,
Clean Coin Launderland,"2902 Hyperion Ave, Los Angeles, CA 90027",(323) 662-6218,
Coin Laundry Lavanderia,"1514 W Sunset, Los Angeles, CA 90026",(917) 596-2668,sunsetlaundry.weebly.com
Coast Laundry,"5041 W El Segundo Blvd, Hawthorne, CA 90250",(424) 348-3490,coast-laundry.com
Rinse,"Culver City, CA 90232",(888) 850-2444,rinse.com
Coin Laundry Lavanderia,"1514 W Sunset, Los Angeles, CA 90026",(917) 596-2668,sunsetlaundry.weebly.com
Wash n Dry Launderland,"10829 Venice Blvd, Los Angeles, CA 90034",(310) 558-8633,
Amor Lavanderia,"3669 Whittier Blvd, Los Angeles, CA 90023",(323) 680-5485,
Laundry Room,"1802 Hillhurst Ave, Los Angeles, CA 90027",(626) 861-1124,coin-laundromat.com
Desis Coin Laundry,"2377 W Pico Blvd, Los Angeles, CA 90006",(213) 529-4331,desiscoinlaundry.com
Los Lavaderos Coin Laundries,"954 N Virgil Ave, Los Angeles, CA 90029",(323) 463-6354,
Los Lavaderos Coin Laundries,"4371 Melrose Ave, Los Angeles, CA 90029",(323) 463-6354,
Love Laundry,"5960 W Pico Blvd, Los Angeles, CA 90035",(818) 259-0690,lovelaundry.com
The Neighborhood Laundry,"4406 Vineland Ave, North Hollywood, CA 91602",(818) 821-0273,theneighborhoodlaundry.com
Laundry 360,"441 E Carson St, Carson, CA 90745",(310) 941-3027,carsonlaundry.com
Lucys,"2323 Daly St, Los Angeles, CA 90031",(310) 941-3027,
Coast Laundry,"5041 W El Segundo Blvd, Hawthorne, CA 90250",(424) 348-3490,coast-laundry.com
Rinse,"Culver City, CA 90232",(888) 850-2444,rinse.com
Coin Laundry Lavanderia,"1514 W Sunset, Los Angeles, CA 90026",(917) 596-2668,sunsetlaundry.weebly.com
Cleaners LA,"314 E 8th St, Los Angeles, CA 90014",(213) 910-2522,CleanersLA.com
Desis Coin Laundry,"2377 W Pico Blvd, Los Angeles, CA 90006",(213) 529-4331,desiscoinlaundry.com
Mar Vista Cleaners,"3831 Grand View Blvd, Los Angeles, CA 90066",(310) 391-1442,
Occidental Cleaners,"528 S Occidental Blvd, Los Angeles, CA 90057",(213) 381-2255,occidentalcleaners.com
World Cleaners,"8107 Beverly Blvd, Los Angeles, CA 90048",(323) 651-5505,
Sun Cleaners,"5518 Franklin Ave, Los Angeles, CA 90028",(323) 461-8400,
Verdugo Coin Wash n Dry,"4106 Verdugo Rd, Los Angeles, CA 90065",(310) 345-8917,coinwashndry.com
Hollywood Hills Cleaners,"1900 N Highland Ave, Los Angeles, CA 90068",(323) 874-9491,hollywoodhillscleaners.com
Silver Lake Cleaners,"1726 W Silver Lake Dr, Los Angeles, CA 90026",(323) 662-0959,
Arts Cleaners,"209 W 7th St, Los Angeles, CA 90014",(213) 622-0763,
Coast Laundry,"5041 W El Segundo Blvd, Hawthorne, CA 90250",(424) 348-3490,coast-laundry.com
Rinse,"Culver City, CA 90232",(888) 850-2444,rinse.com
Coin Laundry Lavanderia,"1514 W Sunset, Los Angeles, CA 90026",(917) 596-2668,sunsetlaundry.weebly.com
Arts Cleaners,"209 W 7th St, Los Angeles, CA 90014",(213) 622-0763,
Bubbles Dry Cleaners,"1600 Vine St, Los Angeles, CA 90028",(323) 461-6050,bubblesdrycleaners.co
Hillhurst Cleaners,"1804 1/2 Hillhurst Ave, Los Angeles, CA 90027",(323) 661-0971,hillhurstcleaners.com
Tower Cleaners,"10880 Wilshire Blvd, Los Angeles, CA 90024",(310) 475-2777,
Universal Cleaners,"4650 Beverly Blvd, Los Angeles, CA 90004",(323) 466-8604,
Sunset Hills Green Cleaners,"8031 Sunset Blvd, Los Angeles, CA 90046",(323) 656-1022,drycleanstore.com
Larchmont Cleaners,"415 N Larchmont Blvd, Los Angeles, CA 90004",(323) 461-9518,
Griffith Park Cleaners,"2617 Hyperion Ave, Los Angeles, CA 90027",(323) 664-5717,
Studio Club Cleaners,"6217 Franklin Ave, Los Angeles, CA 90028",(323) 463-1927,
Mitage Cleaners,"1842 S Robertson Blvd, Los Angeles, CA 90035",(310) 836-6700,
Coast Laundry,"5041 W El Segundo Blvd, Hawthorne, CA 90250",(424) 348-3490,coast-laundry.com
Rinse,"Culver City, CA 90232",(888) 850-2444,rinse.com
Coin Laundry Lavanderia,"1514 W Sunset, Los Angeles, CA 90026",(917) 596-2668,sunsetlaundry.weebly.com
New Image Cleaner,"682 S Cloverdale Ave, Los Angeles, CA 90036",(323) 939-8557,mynewimagecleaners.com
Olympic Cleaners,"958 Crenshaw Blvd, Los Angeles, CA 90019",(323) 935-0809,
The Wash Spot,"10714 S Western Ave, Los Angeles, CA 90047",(877) 654-0368,washspotla.com
Laurel Canyon Cleaners,"2080 Laurel Canyon Blvd, Los Angeles, CA 90046",(323) 654-1464,losangelesdrycleaner.com
Regency Cleaners,"1411 Echo Park Ave, Los Angeles, CA 90026",(213) 482-9986,
Love Laundry,"5960 W Pico Blvd, Los Angeles, CA 90035",(818) 259-0690,lovelaundry.com
LA Vista Cleaners,"6208 Manchester Ave, Los Angeles, CA 90045",(310) 670-0175,
Shine Cleaners,"6051 Hollywood Blvd, Los Angeles, CA 90028",(323) 463-4900,
Embo Cleaners I,"3809 W 6th St, Los Angeles, CA 90020",(213) 388-9055,
Wash & Dry,"4618 Melrose Avenue, Los Angeles, CA 90029",(323) 953-8850,
Coast Laundry,"5041 W El Segundo Blvd, Hawthorne, CA 90250",(424) 348-3490,coast-laundry.com
Rinse,"Culver City, CA 90232",(888) 850-2444,rinse.com
Coin Laundry Lavanderia,"1514 W Sunset, Los Angeles, CA 90026",(917) 596-2668,sunsetlaundry.weebly.com
Johns Village Cleaners,"1401 W Jefferson Blvd, Los Angeles, CA 90007",(323) 733-0987,
Coin Laundry,"5536 York Blvd, Los Angeles, CA 90042",(323) 733-0987,
Coast Laundry,"5041 W El Segundo Blvd, Hawthorne, CA 90250",(424) 348-3490,coast-laundry.com
Beverly Coin Laundry,"4477 Beverly Blvd, Los Angeles, CA 90004",(323) 964-6512,
Lucys,"5902 Santa Monica Blvd, Los Angeles, CA 90038",(323) 964-6512,
Virgil Village Laundromat,"611 N Virgil Ave, Los Angeles, CA 90004",(323) 284-8798,
Modern Coin Laundry,"6914 Foothill, Los Angeles, CA 91042",(323) 284-8798,
Vista Del Mar Cleaners,"217 Culver Blvd, Los Angeles, CA 90293",(310) 827-5400,
Lucky Coin Laundry,"5124 Zelzah Ave, Los Angeles, CA 91316",(310) 827-5400,
Sun Cleaners,"5518 Franklin Ave, Los Angeles, CA 90028",(323) 461-8400,
Coast Laundry,"5041 W El Segundo Blvd, Hawthorne, CA 90250",(424) 348-3490,coast-laundry.com
Rinse,"Culver City, CA 90232",(888) 850-2444,rinse.com
Coin Laundry Lavanderia,"1514 W Sunset, Los Angeles, CA 90026",(917) 596-2668,sunsetlaundry.weebly.com
Fancy Cleaners,"2895 S Robertson Blvd, Los Angeles, CA 90034",(310) 837-2822,
Adrians Cleaners,"3151 Los Feliz Blvd, Los Angeles, CA 90039",(323) 661-5113,
Lido Cleaners & Laundry,"1905 Wilcox Ave, Los Angeles, CA 90068",(323) 874-9600,
Thrifty Clean,"1449 La Cienega Blvd, Los Angeles, CA 90035",(310) 657-0817,
Bobs Cleaners,"5823 Franklin Ave, Los Angeles, CA 90028",(323) 464-1539,
Pride Cleaners,"5851 W 3rd Street, Los Angeles, CA 90036",(323) 933-7434,
Beverly Plus Cleaners,"703 N Fairfax Ave, Los Angeles, CA 90046",(323) 655-1115,
24 Horas Lavanderia,"2817 East Cesar E Chavez Ave, Los Angeles, CA 90033",(323) 655-1115,
Happy Bubbles Laundromat,"12441 Oxnard St, North Hollywood, CA 91606",(818) 232-3057,bubblescoin.com
The Hills Cleaners,"3268 Cahuenga Blvd W, Los Angeles, CA 90068",(323) 882-6797,thehillscleaners.com
Coast Laundry,"5041 W El Segundo Blvd, Hawthorne, CA 90250",(424) 348-3490,coast-laundry.com
Rinse,"Culver City, CA 90232",(888) 850-2444,rinse.com
Coin Laundry Lavanderia,"1514 W Sunset, Los Angeles, CA 90026",(917) 596-2668,sunsetlaundry.weebly.com
The Hills Cleaners,"3268 Cahuenga Blvd W, Los Angeles, CA 90068",(323) 882-6797,thehillscleaners.com
Shine One Hour Cleaners,"11281 Santa Monica Blvd, Los Angeles, CA 90025",(310) 575-1072,
Ladera Cleaners,"5484 W Centinela Ave, Los Angeles, CA 90045",(310) 670-1548,laderaonehourcleaners.com
Venice Cleaners,"11277 Venice Blvd, Los Angeles, CA 90066",(310) 390-2165,venicecleaners.com
Silver-Glen Cleaners,"2558 Glendale Blvd, Los Angeles, CA 90039",(323) 668-1155,
Limpia Laundromat,"722 Vine St, Los Angeles, CA 90038",(323) 345-1020,
Song Sok Jin,"1820 N Cahuenga Boulevard, Los Angeles, CA 90028",(323) 462-2664,
Crest Cleaners,"11119 Palms Blvd, Los Angeles, CA 90034",(310) 837-1735,
Cleaners on 8th,"225 W 8th St, Los Angeles, CA 90014",(213) 489-9400,
The Neighborhood Laundry,"4406 Vineland Ave, North Hollywood, CA 91602",(818) 821-0273,theneighborhoodlaundry.com
Coast Laundry,"5041 W El Segundo Blvd, Hawthorne, CA 90250",(424) 348-3490,coast-laundry.com
Rinse,"Culver City, CA 90232",(888) 850-2444,rinse.com
Coin Laundry Lavanderia,"1514 W Sunset, Los Angeles, CA 90026",(917) 596-2668,sunsetlaundry.weebly.com
Market St Suds,"450 S Market St, Inglewood, CA 90301",(310) 672-0454,
Coast 1 Hr Cleaners,"5213 W Sunset Blvd, Los Angeles, CA 90027",(323) 664-4037,coast1hr.com
The Cleaners Mt Washington,"4327 N Figueroa St, Los Angeles, CA 90065",(323) 225-0979,
Margarets Cleaners,"10700 Santa Monica Blvd, Los Angeles, CA 90025",(310) 470-9200,margarets.com
Coin-Wash,"3871 S. Western Ave., Los Angeles, CA 90062",(310) 470-9200,
Poppy Cleaners,"8730 W 3rd St, Los Angeles, CA 90048",(310) 276-2048,
Best Quality Cleaners & Shoe Repair,"430 S San Vicente Blvd, Los Angeles, CA 90048",(310) 659-7366,
Shirleys Classic Cleaners,"5654 W 3rd Street, Los Angeles, CA 90036",(323) 938-0673,
Glory Cleaners,"7121 Beverly Blvd, Los Angeles, CA 90036",(323) 937-0394,
Clean King,"8905 Venice Blvd, Los Angeles, CA 90034",(818) 363-5500,
Coast Laundry,"5041 W El Segundo Blvd, Hawthorne, CA 90250",(424) 348-3490,coast-laundry.com
Rinse,"Culver City, CA 90232",(888) 850-2444,rinse.com
Coin Laundry Lavanderia,"1514 W Sunset, Los Angeles, CA 90026",(917) 596-2668,sunsetlaundry.weebly.com
Clean King,"8905 Venice Blvd, Los Angeles, CA 90034",(818) 363-5500,
Moms Cleaners,"2520 S Figueroa St, Los Angeles, CA 90007",(213) 747-2147,
Prestige Green Touch Cleaners,"1232 S La Cienega Blvd, Los Angeles, CA 90035",(310) 652-1200,prcleaners.com
Westside Cleaners,"4500 W Washington Blvd, Los Angeles, CA 90016",(323) 933-3082,
Sunset Laundraclean,"8201 Melrose Ave, Los Angeles, CA 90046",(323) 653-2360,sunsetlaundraclean.com
Globe Cleaners,"309 Lincoln Blvd, Los Angeles, CA 90291",(310) 450-2845,
Blue Note Cleaners,"998 S Robertson Blvd, Los Angeles, CA 90035",(310) 854-7242,
Perfect Cleaners,"8550 W 3rd Street, Los Angeles, CA 90048",(310) 271-1616,perfectcleaners.com
Los Feliz Cleaners,"1922 Hillhurst Ave, Los Angeles, CA 90027",(323) 665-0737,
Four Seasons Cleaners,"11870 Santa Monica Blvd, Los Angeles, CA 90025",(310) 207-2802,
Coast Laundry,"5041 W El Segundo Blvd, Hawthorne, CA 90250",(424) 348-3490,coast-laundry.com
Rinse,"Culver City, CA 90232",(888) 850-2444,rinse.com
Coin Laundry Lavanderia,"1514 W Sunset, Los Angeles, CA 90026",(917) 596-2668,sunsetlaundry.weebly.com
Gateway Cleaners,"5616 W Manchester Ave, Los Angeles, CA 90045",(310) 641-2400,
Laundreworks,"2800 W Main St, Alhambra, CA 91801",(310) 641-2400,
Sterling Cleaners,"1600 Westwood Blvd, Los Angeles, CA 90024",(310) 474-8525,
iClean,"Los Angeles, CA 90069",(424) 286-4521,joiniclean.com
Tokyo Cleaners,"426 E 2nd St, Los Angeles, CA 90012",(213) 628-2474,
Clean King,"3601 Crenshaw Blvd, Los Angeles, CA 90016",(213) 628-2474,
Quick & Bright Coin Laundry,"5151 W Pico Blvd, Los Angeles, CA 90019",(323) 452-9599,
Fair Cleaners,"349 S Fairfax Ave, Los Angeles, CA 90036",(323) 653-7778,faircleaners.com
Elegant Cleaners,"5532 W Pico Blvd, Los Angeles, CA 90019",(323) 934-0116,
24 Hour Coin Laundry,"768 S Mariposa Ave, Los Angeles, CA 90005",(323) 934-0116,
Coast Laundry,"5041 W El Segundo Blvd, Hawthorne, CA 90250",(424) 348-3490,coast-laundry.com
Rinse,"Culver City, CA 90232",(888) 850-2444,rinse.com
Coin Laundry Lavanderia,"1514 W Sunset, Los Angeles, CA 90026",(917) 596-2668,sunsetlaundry.weebly.com
Fox Coin Laundries,"924 Montana Ave, Santa Monica, CA 90403",(310) 394-9418,
Valencia Cleaners,"1433 W 11th St, Los Angeles, CA 90015",(213) 749-8515,
Metro Cleaners,"1437 N. La Brea, Los Angeles, CA 90028",(323) 467-1846,metrocleaner.com
ButlerBox,"Los Angeles, CA 90048",(888) 982-8853,mybutlerbox.com
Sunset Laundraclean,"8201 Melrose Ave, Los Angeles, CA 90046",(323) 653-2360,sunsetlaundraclean.com
Lucys Laundromat,"1955 E Cesar Chavez Ave, Los Angeles, CA 90033",(323) 980-1066,
New Image Cleaner,"682 S Cloverdale Ave, Los Angeles, CA 90036",(323) 939-8557,mynewimagecleaners.com
Adrians Cleaners,"3151 Los Feliz Blvd, Los Angeles, CA 90039",(323) 661-5113,
Laurel Canyon Cleaners,"2080 Laurel Canyon Blvd, Los Angeles, CA 90046",(323) 654-1464,losangelesdrycleaner.com
Temple Coin Laundry,"3553 W Temple St, Los Angeles, CA 90004",(323) 665-8433,
Coast Laundry,"5041 W El Segundo Blvd, Hawthorne, CA 90250",(424) 348-3490,coast-laundry.com
Rinse,"Culver City, CA 90232",(888) 850-2444,rinse.com
Coin Laundry Lavanderia,"1514 W Sunset, Los Angeles, CA 90026",(917) 596-2668,sunsetlaundry.weebly.com
Ogdens One Hour Cleaners,"6250 Wilshire Blvd, Los Angeles, CA 90048",(323) 936-5654,
Ritz Cleaners,"306 N Larchmont Blvd, Los Angeles, CA 90004",(323) 464-4860,ritzcleaners.com
Spin Cycle,"5300 Crenshaw Boulevard, Los Angeles, CA 90043",(323) 296-2705,
Spotless Green Cleaners,"11050 Ventura Blvd, Studio City, CA 91604",(818) 980-2988,spotlessgreen.com
iClean,"Los Angeles, CA 90069",(424) 286-4521,joiniclean.com
Cleann Save Cleaners,"2630 Hyperion Ave, Los Angeles, CA 90027",(323) 666-4879,
Same Day Cleaners,"5840 W Manchester Ave, Los Angeles, CA 90045",(310) 670-0871,
Embo Cleaners II,"5600 Wilshire Blvd, Los Angeles, CA 90036",(323) 936-3626,
Celebrity Cleaners,"1857 Hillhurst Ave, Los Angeles, CA 90027",(323) 666-1203,
Krystal Kleen Coin Laundry,"4165 Beverly Blvd, Los Angeles, CA 90004",(213) 533-6579,
Coast Laundry,"5041 W El Segundo Blvd, Hawthorne, CA 90250",(424) 348-3490,coast-laundry.com
Rinse,"Culver City, CA 90232",(888) 850-2444,rinse.com
Coin Laundry Lavanderia,"1514 W Sunset, Los Angeles, CA 90026",(917) 596-2668,sunsetlaundry.weebly.com
La Cienega Studio Cleaners,"900 N La Cienega Blvd, Los Angeles, CA 90069",(310) 659-7474,lacienegacleaners.com
Highland Laundromat,"1428 N Highland Ave, Hollywood, CA 90028",(818) 292-0388,highland-laundry.com
Leimert Park Laundromat,"2720 W Vernon Ave, Los Angeles, CA 90008",(323) 389-8697,lplaundromat.weebly.com
Beverly Plus Cleaners,"703 N Fairfax Ave, Los Angeles, CA 90046",(323) 655-1115,
The Cleaners Mt Washington,"4327 N Figueroa St, Los Angeles, CA 90065",(323) 225-0979,
Moms Cleaners,"2520 S Figueroa St, Los Angeles, CA 90007",(213) 747-2147,
Hollywood Land Cleaners,"5175 Hollywood Blvd, Los Angeles, CA 90027",(323) 467-9663,
Pride Cleaners,"5851 W 3rd Street, Los Angeles, CA 90036",(323) 933-7434,
Laundromat,"4001 W Pico Blvd, Los Angeles, CA 90019",(323) 732-0461,
Mitage Cleaners,"1842 S Robertson Blvd, Los Angeles, CA 90035",(310) 836-6700,
Coast Laundry,"5041 W El Segundo Blvd, Hawthorne, CA 90250",(424) 348-3490,coast-laundry.com
Rinse,"Culver City, CA 90232",(888) 850-2444,rinse.com
Coin Laundry Lavanderia,"1514 W Sunset, Los Angeles, CA 90026",(917) 596-2668,sunsetlaundry.weebly.com
Mitage Cleaners,"1842 S Robertson Blvd, Los Angeles, CA 90035",(310) 836-6700,
Clean King Coin Laundry,"2610 W Martin Luther King Jr Blvd, Los Angeles, CA 90008",(310) 836-6700,
G Cleaners,"3276 W Pico Blvd, Los Angeles, CA 90019",(323) 218-1306,
Soapy Hai Laundromat,"14835 Pioneer Blvd, Norwalk, CA 90650",(626) 534-1543,soapyhailaundromat.com
MLK Coin Laundry,"1755 W Martin Luther King Jr Blvd, Los Angeles, CA 90062",(323) 596-3772,freedrycoinlaundry.com
8th St Cleaners,"730 S Western Ave, Los Angeles, CA 90005",(213) 386-1318,
Coin Laundry,"8662 Foothill Blvd, Los Angeles, CA 91040",(213) 386-1318,
Clean King Wash & Dry,"1531 King Blvd, Los Angeles, CA 90062",(818) 363-5500,
Coast 1 Hr Cleaners,"5213 W Sunset Blvd, Los Angeles, CA 90027",(323) 664-4037,coast1hr.com
Highland Coin,"6015 North Figueroa St, Los Angeles, CA 90042",(626) 497-8230,
Coast Laundry,"5041 W El Segundo Blvd, Hawthorne, CA 90250",(424) 348-3490,coast-laundry.com
Rinse,"Culver City, CA 90232",(888) 850-2444,rinse.com
Coin Laundry Lavanderia,"1514 W Sunset, Los Angeles, CA 90026",(917) 596-2668,sunsetlaundry.weebly.com
Jasmine Cleaners,"3514 W Sunset Blvd, Los Angeles, CA 90026",(323) 662-9193,
Mega Coin Laundry,"1411 Echo Park Ave, Los Angeles, CA 90026",(213) 221-7377,
Spin Off,"22341 Sherman Way, Los Angeles, CA 91303",(323) 459-2356,
Hyperion Cleaners,"2730 Hyperion Ave, Los Angeles, CA 90027",(323) 661-4356,
Hollywood Coin Laundry,"4840 Hollywood Blvd, Los Angeles, CA 90027",(323) 665-7242,hollywoodcoinlaundry.com
Hancock Park Cleaners,"744 Vine St, Los Angeles, CA 90038",(323) 466-1200,
Soro Laundry Center,"1507 S Robertson Blvd, Los Angeles, CA 90035",(424) 365-2299,sorolaundrycenter.com
Twenty Twenty Cleaners,"698 Irolo St, Los Angeles, CA 90005",(213) 387-7832,
Green Cleaners,"8887 W Pico Blvd, Los Angeles, CA 90035",(310) 273-8523,
